#Top: Test_wrapper   Floorplan: impl_1   Part: xc7z030ffg676-2;;;;;;;;;;;;;;;;;;;;;;;;;;
#Generated by: Muhammed   on: Fri Jul 19 09:32:35 2024;;;;;;;;;;;;;;;;;;;;;;;;;;
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Version: FINAL 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Pin Delay Version: VERS. 2.0 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
IO Bank;Pin Number;Site;Site Type;Min Trace Delay (ps);Max Trace Delay (ps);Avrg Trace Delay (ps);Prohibit;Interface;Signal Name;Direction;DiffPair Type;DiffPair Signal;IO Standard;Drive (mA);Slew Rate;OUTPUT_IMPEDANCE;PRE_EMPHASIS;LVDS_PRE_EMPHASIS;EQUALIZATION;Pull Type;DQS_BIAS;IN_TERM;DIFF_TERM;OFFCHIP_TERM;Board Signal;Board Voltage
502;V26;IOPAD_X1Y31;PS_DDR_DM3_502;110.538;111.649;111.094;;DDR_40162;DDR_dm[3];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;P26;IOPAD_X1Y30;PS_DDR_DM2_502;116.064;117.230;116.647;;DDR_40162;DDR_dm[2];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;K25;IOPAD_X1Y29;PS_DDR_DM1_502;100.060;101.065;100.563;;DDR_40162;DDR_dm[1];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;G24;IOPAD_X1Y28;PS_DDR_DM0_502;133.604;134.946;134.275;;DDR_40162;DDR_dm[0];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;R20;IOPAD_X1Y17;PS_DDR_A14_502;99.441;100.440;99.941;;DDR_40162;DDR_addr[14];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;J20;IOPAD_X1Y18;PS_DDR_A13_502;95.836;96.799;96.318;;DDR_40162;DDR_addr[13];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;P20;IOPAD_X1Y16;PS_DDR_A12_502;116.382;117.552;116.967;;DDR_40162;DDR_addr[12];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;H21;IOPAD_X1Y15;PS_DDR_A11_502;99.373;100.372;99.873;;DDR_40162;DDR_addr[11];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;M22;IOPAD_X1Y14;PS_DDR_A10_502;95.899;96.862;96.381;;DDR_40162;DDR_addr[10];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;U20;IOPAD_X1Y13;PS_DDR_A9_502;103.306;104.345;103.826;;DDR_40162;DDR_addr[9];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
